video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
RIqIo6_LMAc,小高姐的 Magic Ingredients,开口笑 Sesame Smiley,2018-07-18,537735,7915,,425
aFc_BgOmt8c,小高姐的 Magic Ingredients,甑糕 Jing-Gao,2018-07-14,800691,13591,,1330
_zVEKAtqfvk,小高姐的 Magic Ingredients,皮塔饼 Pita Bread 饼大如球 做法有趣 进来瞧瞧吧,2018-07-10,2656433,41140,,1481
uEs5orpQ9QU,小高姐的 Magic Ingredients,油麦菜加一杯小麦面粉 无需揉面 做出最有西北特色的一碗饭：麦饭,2018-07-06,291608,4981,,902
_K-TR-obPVg,小高姐的 Magic Ingredients,天妇罗  Shrimp Tempura,2018-07-03,959104,11152,,496
OMFJxnYWkfU,小高姐的 Magic Ingredients,凉拌莲藕 / 呛莲菜 Lotus Root Salad,2018-06-29,439601,8798,,311
JKOxU2hBlfA,小高姐的 Magic Ingredients,全麦面包 Whole Wheat Bread,2018-06-26,978591,15284,,985
Ru8F4vesAUo,小高姐的 Magic Ingredients,凉皮 Liangpi,2018-06-22,1016905,15246,,1008
mmZURDPBj8s,小高姐的 Magic Ingredients,"高筋粉, 中筋粉, 低筋粉区别 鲜为人知的知识点 解锁各类面食做法",2018-06-19,2478001,34935,,1089
UQaTXU3MFOQ,小高姐的 Magic Ingredients,可丽饼 French Crepes,2018-06-15,271171,5703,,326
AgBz3yupiE0,小高姐的 Magic Ingredients,粽子包法 碱水红豆粽 Red Bean Paste Zongzi,2018-06-11,1083092,12192,,732
mg1XeWsfHoQ,小高姐的 Magic Ingredients,红豆沙 Red Bean Paste,2018-06-08,1418484,18736,,730
oCsVPRiBWWs,小高姐的 Magic Ingredients,烤鸡翅 Oven Roast Chicken Wings,2018-06-07,2267759,28249,,1195
uAnXO0_ica0,小高姐的 Magic Ingredients,麻团 /煎堆 不开裂 不回缩的小技巧 Sesame Balls,2018-06-01,3239334,38129,,1376
VknoqZ9IZjc,小高姐的 Magic Ingredients,柔软牛奶吐司 无需机器 手工操作 Soft Milk Loaf,2018-05-29,6670087,89693,,4509
See5pQpQhzQ,小高姐的 Magic Ingredients,红豆饼 Red Bean Paste Bread,2018-05-25,1534507,21579,,1117
d7KyCdyUJ3U,小高姐的 Magic Ingredients,烤牛排骨 Oven Baked BBQ Beef Ribs,2018-05-22,498210,7859,,506
zetjQjqwpdc,小高姐的 Magic Ingredients,葱油饼 独特整形手法不留死角  饼身柔软 层次丰富  Scallion Pancakes,2018-05-18,2806712,122969,,1303
Vj9lM6iBo1U,小高姐的 Magic Ingredients,发面 烫面 死面 的区别和用途   面食基础,2018-05-15,2141604,36450,,1365
uIy2Aw35D-4,小高姐的 Magic Ingredients,葱油饼 吃腻了换个新吃法吧  盘丝饼,2018-05-12,2104940,31447,,1372
aqGJMloZWRc,小高姐的 Magic Ingredients,凉拌茄子 一个很好的方法  完美保留茄子的紫色,2018-05-07,5638788,195375,,2650
5zPqwH8AqXI,小高姐的 Magic Ingredients,面包 基础面团,2018-05-01,2246773,23319,,1628
sejsQ-FIJww,小高姐的 Magic Ingredients,土豆饼  烹饪基础系列 （4）,2018-04-24,1448641,21859,,879
6InWqwKEKGY,小高姐的 Magic Ingredients,花卷 浓浓葱油香 手法简单实用 一看就会,2018-04-20,2587368,31636,,1257
DwlD6gdXrF8,小高姐的 Magic Ingredients,酸辣土豆丝  烹饪基础系列 （3）,2018-04-17,1600832,25521,,1309
k_YkQSTvjLk,小高姐的 Magic Ingredients,番茄炒蛋 烹饪基础系列（2）,2018-04-12,1061715,19177,,1077
HC6bq-jkrJk,小高姐的 Magic Ingredients,蛋炒饭 Egg Fried Rice 烹饪基础系列 （1）,2018-04-06,738779,13524,,1653
EM4GwZujNwQ,小高姐的 Magic Ingredients,铸铁锅翻新  Restore a Rusty Cast Iron Skillet,2018-04-03,864243,19055,,958
9xb0z5c_v6c,小高姐的 Magic Ingredients,铁锅开锅 铁锅翻新 和 铁锅保养,2018-03-28,1465257,40997,,1275
M6DD504lDac,小高姐的 Magic Ingredients,包子 几个蒸包子的诀窍 失败是一件很困难的事情,2018-03-20,6907832,116733,,3459
_ZIBOOZFdK4,小高姐的 Magic Ingredients,鸡汤馄饨,2018-03-13,623485,14160,,553
KXwMjZCuc98,小高姐的 Magic Ingredients,手工馄饨皮,2018-03-09,1252970,18315,,882
